TRUE_STRAIN,TRUE_STRESS,PRED_TRUE_STRESS
0.0,0.0,2.5186249388976307
0.01,16.105224016224604,18.19198727787372
0.02,32.21044803244921,33.86534961684981
0.030000000000000002,48.31567204867382,49.53871195582591
0.04,64.42089606489841,65.212074294802
0.05,80.52612008112303,80.88543663377808
0.060000000000000005,96.63134409734764,96.55879897275419
0.06999999999999999,112.73656811357223,112.23216131173027
0.08,128.84179212979683,127.90552365070636
0.09000000000000001,144.94701614602147,143.57888598968245
0.1,161.05224016224605,159.25224832865854
0.11,177.15746417847066,174.92561066763463
0.12000000000000001,193.26268819469527,190.59897300661075
0.13,209.36791221091988,206.27233534558684
0.13999999999999999,225.47313622714447,221.9456976845629
0.15,240.78582518820753,237.619060023539
0.16,255.76678929762178,253.29242236251508
0.17,268.91532371295943,268.9657847014912
0.18000000000000002,282.3728749699461,284.63914704046726
0.19,297.4220534296472,300.3125093794433
0.2,312.3908593629143,315.98587171841945
0.21000000000000002,327.25420129434406,331.65923405739557
